# Node A, Node B
0, 24
0, 37
24, 11
24, 82
37, 79
37, 93
1, 29
1, 49
29, 21
29, 36
49, 47
49, 59
2, 54
2, 79
54, 14
54, 66
3, 42
42, 20
42, 62
4, 18
4, 63
4, 38
18, 95
18, 65
63, 65
63, 85
38, 56
5, 78
5, 10
5, 75
78, 59
78, 77
10, 57
10, 47
75, 25
75, 93
6, 13
6, 61
13, 34
61, 15
61, 45
7, 58
7, 77
7, 28
58, 25
77, 25
28, 19
28, 41
8, 93
8, 32
32, 11
32, 57
9, 90
9, 69
90, 50
90, 64
69, 23
69, 72
57, 92
11, 40
40, 16
40, 60
12, 43
12, 52
12, 81
43, 83
43, 50
52, 72
81, 36
34, 94
34, 97
14, 72
14, 65
15, 51
51, 97
16, 92
92, 73
17, 74
17, 19
17, 59
74, 45
74, 68
19, 45
95, 30
20, 53
20, 55
53, 88
53, 62
55, 31
55, 46
21, 46
21, 27
46, 96
27, 83
22, 26
22, 64
22, 50
26, 86
26, 70
64, 87
82, 33
82, 94
86, 67
86, 83
70, 44
70, 76
41, 87
36, 71
30, 73
73, 71
31, 67
67, 35
33, 60
60, 80
35, 76
35, 84
76, 91
84, 88
84, 91
56, 88
56, 89
39, 89
39, 80
39, 62
87, 44
96, 68
48, 85
48, 66
