# Node 1, Node 2
0, 214
0, 165
0, 222
0, 205
0, 43
0, 206
0, 223
214, 136
165, 110
222, 151
222, 202
222, 224
205, 65
43, 155
206, 58
223, 82
1, 207
1, 108
207, 22
207, 229
108, 57
108, 88
2, 133
2, 12
2, 166
133, 134
12, 113
166, 67
3, 105
3, 229
105, 186
4, 198
4, 201
4, 242
198, 239
201, 67
242, 14
5, 58
5, 72
58, 180
72, 173
6, 197
197, 239
7, 83
7, 55
83, 102
83, 217
55, 220
55, 180
8, 10
8, 213
8, 235
10, 36
213, 75
235, 9
9, 179
9, 174
179, 31
174, 45
36, 16
36, 221
36, 70
11, 107
11, 54
11, 168
11, 157
107, 169
54, 120
168, 99
157, 192
113, 129
113, 162
13, 27
13, 230
27, 131
27, 86
230, 144
230, 227
14, 118
14, 181
14, 190
118, 188
181, 32
190, 89
15, 177
15, 159
15, 138
15, 94
15, 135
15, 28
15, 158
15, 29
177, 114
159, 151
138, 136
94, 119
135, 82
28, 151
158, 46
29, 61
16, 203
203, 148
203, 191
17, 176
17, 155
155, 56
155, 90
18, 188
18, 65
188, 140
188, 148
188, 170
188, 194
188, 199
188, 234
65, 215
65, 68
65, 102
65, 127
65, 98
65, 234
19, 109
19, 161
109, 38
109, 81
109, 104
109, 145
161, 141
161, 204
20, 210
210, 134
21, 73
21, 78
73, 241
78, 216
22, 92
92, 39
92, 50
92, 122
23, 124
23, 33
23, 48
23, 77
124, 67
33, 67
48, 154
77, 243
24, 238
24, 219
238, 69
219, 96
25, 172
25, 70
172, 186
26, 63
26, 101
63, 40
101, 64
131, 150
86, 52
151, 47
61, 57
61, 84
61, 153
61, 132
30, 49
30, 129
30, 215
30, 106
49, 239
106, 130
31, 175
31, 196
175, 87
196, 136
32, 232
32, 91
232, 95
91, 67
67, 60
67, 208
34, 126
126, 95
35, 89
35, 134
89, 233
89, 112
134, 142
134, 167
221, 45
37, 114
37, 150
114, 178
114, 153
150, 183
38, 218
218, 62
218, 81
218, 164
218, 178
218, 185
218, 220
39, 116
40, 115
40, 47
115, 149
41, 243
41, 237
243, 143
243, 163
42, 182
42, 239
182, 208
239, 53
239, 85
239, 170
239, 194
44, 100
44, 195
100, 88
195, 163
45, 76
45, 212
76, 146
212, 51
50, 93
93, 227
51, 187
187, 160
52, 145
52, 209
209, 202
53, 202
202, 84
202, 122
202, 141
202, 173
202, 184
56, 147
147, 171
59, 123
59, 236
123, 117
236, 68
236, 189
60, 156
156, 111
132, 139
62, 228
127, 80
98, 146
66, 82
66, 224
82, 164
82, 142
71, 191
241, 85
74, 240
240, 87
146, 128
146, 204
216, 104
216, 184
79, 231
231, 121
217, 152
233, 103
112, 130
90, 95
95, 189
97, 185
99, 225
225, 152
169, 140
111, 125
125, 117
162, 136
121, 226
226, 137
128, 160
139, 143
167, 136
137, 144
137, 183
137, 200
200, 193
171, 211
152, 199
